id,internalNo,label,type,siteCode,sitePostcode,status,managerEmail,notes
b594e39c-e3e4-4033-8a71-23a349c086b4,NT01,Downham Bromley Road,KEY,5444,BR1 4PB,WITH_US,Tony.Gordon,Caloline Gave me 1 fob and 2 other keys. For pad lock code is 5444. Open pad lock then open shutter then open main door to enter the site. Alarm panel is on right hand site as soon we enter the site
883d0f7e-20f1-486c-9b8f-b1ecfdf4bb6b,,Bromley,KEY,2203,BR2 0TY,WITH_US,Michael.Denison1,Wednesday 12:00 o’clock. Mickal will provide key. He doesn’t has any spare key now.
d3526d06-5be0-49d1-b418-0b1d2da2f7a9,NT02,St Pauls Cray,KEY,3148,BR5 3AQ,WITH_US,Aruna.Kalubowila,"Just use key to open the shutter then open the door with another key and as soon u enter the site, on right hand site there is alarm panel, use fob key and hold for few seconds to disarm and check building. When all done again touch fob key to alarm panel and leave site."
ad98b905-46fd-459e-bb92-a4ef6acafbf6,,Orpington,KEY,5904,BR6 0NH,WITH_US,Claire.Davies,Manger ( Claire ) she was not aware that I’m coming to collect keys and she said site is already secure for 24 hrs and she spoke to nexus as well. And she did provide any key.
2aff14cd-5b27-4555-a4b2-1ce8a0031951,,Barking,KEY,2072,IG11 7BS,WITH_US,Sumiya.Masrure,Site is manned 24/7. Someone from staff is on-site even on Christmas. They never set the alarm and leave site. They provided me the Alarm codes.
02e54594-dbab-431a-a0c3-124a2afd8ccd,,Manford Way Chigwell,KEY,5191,IG7 4DN,WITH_US,Anzhelika.Sagratova,Enter site from main door. 3 keys and 1 fob. Use keys to unlock main door and shutter. Use fob to disarm and arm the alarm.
