id,storeNumber,siteName,group,addressLine,postcode,region,customerProgram,services,outsourcer,targetGoLive,stage
2548e52d-0c6d-44d7-bae2-c98ff8e8c206,2726,Baker Street,908,110-112 Baker St Marylebone London London W1U 6FY,W1U 6FY,West/North,TESCO,KH & AR,1st Nationwide,9/30/2025,PROPOSED
8edb85e3-e307-4b92-a443-afd9fbe296e9,4683,Baker St Express,908,55 Baker Street  London London W1U 8EW,W1U 8EW,West/North,TESCO,KH & AR,1st Nationwide,9/30/2025,PROPOSED
72735430-e3ed-4b16-9fa7-1e737ee2737f,6668,"London, 101 New Cavendish Street",908,101 New Cavendish St  London London W1W 6BE,W1W 6BE,West/North,TESCO,KH & AR,1st Nationwide,9/30/2025,PROPOSED
bcba841c-8d8b-4b49-82ac-76a06d8aab0f,3276,"South Wharf, Paddington",908,South Wharf Rd Paddington London London W2 1JX,W2 1JX,West/North,TESCO,KH & AR,1st Nationwide,9/30/2025,PROPOSED
95b46bd5-558c-4ee2-b6da-aa3e40c839df,4620,Marble Arch Express,908,Unit 3 Marble Arch House London London W2 2EH,W2 2EH,West/North,TESCO,KH & AR,1st Nationwide,9/30/2025,PROPOSED
575e86d4-5ddf-43bf-b36c-53e7d2800931,3466,Bayswater,908,Tesco Express 62-64 Queensway London London W2 3RL,W2 3RL,West/North,TESCO,KH & AR,1st Nationwide,9/30/2025,PROPOSED
67e5e28e-ee1a-40f1-9a71-e3d799720409,4447,Queensway Express,913,Tesco Stores Ltd 140 Queensway London London W2 6LS,W2 6LS,West/North,TESCO,KH & AR,1st Nationwide,9/30/2025,PROPOSED
abfda3e1-85a3-4279-a9bd-cbf566958687,5780,Acton,44,31 The Vale  Acton London W3 7RR,W3 7XA,West/North,TESCO,KH & AR,1st Nationwide,9/30/2025,PROPOSED
8b6e06af-4003-4abe-9b84-804110c33f80,5439,Ealing Broadway Express,913,Unit 20 Ealing Broadway Centre London London W5 5JY,W5 5JY,West/North,TESCO,KH & AR,1st Nationwide,9/30/2025,PROPOSED
837ede7f-0bba-4a13-81b4-e905de798389,2613,Hammersmith,44,Tesco Stores Ltd 180 Shepherds Bush Road London London W6 7NL,W6 7NL,West/North,TESCO,KH & AR,1st Nationwide,9/30/2025,PROPOSED
81f18022-50a3-4d75-af33-247b82dab4d9,2610,Hammersmith Express,913,13-16 Broadway Centre  London London W6 9YD,W6 9YD,West/North,TESCO,KH & AR,1st Nationwide,9/30/2025,PROPOSED
9846b538-176d-41f3-a07d-a129f20c80c5,2717,"Cliford Road, Maida Vale",908,Tesco 29 Clifton Road London London W9 1SY,W9 1SY,West/North,TESCO,KH & AR,1st Nationwide,9/30/2025,PROPOSED
7601f829-d4be-48e5-bfeb-dc2917589c45,2861,Maida Vale,908,Tesco Express (Maida Vale) 115 Maida Vale London London W9 1UP,W9 1UP,West/North,TESCO,KH & AR,1st Nationwide,9/30/2025,PROPOSED
ac675e73-96d3-4103-af6f-40fa43284cd8,6981,Bromley High Street Express,914,Tesco Express 3-5 High Street Bromley London BR1 1LF,BR1 1LF,Unknown,TESCO,KH & AR,1st Nationwide,9/30/2025,PROPOSED
a5093fc7-a6f8-4010-9f8d-8d02f8e210a5,5651,Bromley,44,Homesdale Rd  Bromley Kent BR1 2UE,BR1 2UE,Unknown,TESCO,KH & AR,1st Nationwide,9/30/2025,PROPOSED
fce721c4-4ecc-40af-a2bb-3644dbfd3511,4564,Bromley Plaisow,914,1 Plaistow Lane  Bromley London BR1 4DS,BR1 4DS,Unknown,TESCO,KH & AR,1st Nationwide,9/30/2025,PROPOSED
826f04a6-8e4c-4cb0-8ab4-08133f2b32cd,5444,Downham Bromley Road,914,Tesco Stores Ltd 478-486 Bromley Road Bromley Kent BR1 4PB,BR1 4PB,Unknown,TESCO,KH & AR,1st Nationwide,9/30/2025,PROPOSED
7aadd206-9938-4608-9f14-b741daa02da4,2203,Bromley,914,Tesco Express 115-119 Westmoreland Road Bromley Kent BR2 0TY,BR2 0TY,Unknown,TESCO,KH & AR,1st Nationwide,9/30/2025,PROPOSED
d9e3b631-293a-4390-9a6e-951bc100c8ac,2445,Elmers End,44,Croydon Rd  Beckenham London BR3 4AA,BR3 4AA,Unknown,TESCO,KH & AR,1st Nationwide,9/30/2025,PROPOSED
a45f936d-0609-46b2-abf8-44e41d4d689e,6224,Beckenham,914,Tesco Express 410-412 Croydon Road Beckenham Kent BR3 4EP,BR3 4EP,Unknown,TESCO,KH & AR,1st Nationwide,9/30/2025,PROPOSED
7035260e-1466-41f8-a4c4-c0349d12f345,4779,Beckenham Chinese Garage Express,914,Stone Park Ave  Beckenham Kent BR3 3LS,BR3 6RH,Unknown,TESCO,KH & AR,1st Nationwide,9/30/2025,PROPOSED
ddd8c416-4014-42dd-8659-6cb412bd4bd7,3148,St Pauls Cray,917,Sevenoaks Way St Pauls Cray Orpington Kent BR5 3AQ,BR5 3AQ,Unknown,TESCO,KH & AR,1st Nationwide,9/30/2025,PROPOSED
2c633083-4ee9-49b3-ae56-b0229e4b34b3,5904,Orpington,44,9 Augustus Ln  Orpington Kent BR6 0NH,BR6 0NH,Unknown,TESCO,KH & AR,1st Nationwide,9/30/2025,PROPOSED
8793815d-145f-4eba-a0a6-e974bd8f2450,2072,Barking,43,Tesco Stores Ltd Highbridge Road Barking London IG11 7BS,IG11 7BS,Unknown,TESCO,KH & AR,1st Nationwide,9/30/2025,PROPOSED
e1454bd9-74c5-4a4f-a016-44fb2c572625,2078,Ilford,43,796 Cranbrook Road  Ilford London IG6 1HZ,IG6 1HZ,Unknown,TESCO,KH & AR,1st Nationwide,9/30/2025,PROPOSED
d3a35bf1-8e64-424f-b290-86d40dae926d,5191,Manford Way Chigwell,903,Tesco Express 185 Manford Way Chigwell Essex IG7 4DN,IG7 4DN,Unknown,TESCO,KH & AR,1st Nationwide,8/28/2026,PROPOSED
b9e3fa23-f2eb-4f1b-a3b9-7360cf258155,3422,Woodford Green,43,Tesco Stores Ltd Southend Road Woodford Green Essex IG8 8GE,IG8 8GE,Unknown,TESCO,KH & AR,1st Nationwide,9/30/2025,PROPOSED
4c262f31-1e10-4125-8ea8-0405f7264796,5727,Woodford Green,903,253-269 High Rd  Woodford Green Essex IG8 9FB,IG8 9FB,Unknown,TESCO,KH & AR,1st Nationwide,9/30/2025,PROPOSED
